Gene	Col1
Sobic.001G001300	0.0161816
Sobic.001G002100	0.0221066
Sobic.001G003200	0.0188155
Sobic.001G003900	0.0184255
Sobic.001G005200	0.0158804
Sobic.001G005500	0.0106734
Sobic.001G005700	0.0372373
Sobic.001G006500	0.0150867
Sobic.001G006600	0.0289295
Sobic.001G007700	0.0428369
Sobic.001G007800	0.0256689
Sobic.001G008900	0.00850414
Sobic.001G009200	0.0366823
Sobic.001G009400	0.0178943
Sobic.001G009500	0.0212219
Sobic.001G010100	0.0356777
Sobic.001G010200	0.0289066
Sobic.001G012600	0.0167119
Sobic.001G013600	0.0336047
Sobic.001G013900	0.0165346
Sobic.001G014000	0.00956496
Sobic.001G015100	0.0221209
Sobic.001G015200	0.0313256
Sobic.001G015700	0.0342646
Sobic.001G016800	0.0117906
Sobic.001G018000	0.0177934
Sobic.001G021900	0.0106531
Sobic.001G023200	0.0137871
Sobic.001G025500	0.0095466
Sobic.001G026000	0.0119468
Sobic.001G027700	0.028424
Sobic.001G028000	0.0257974
Sobic.001G028200	0.0363317
Sobic.001G028800	0.0136311
Sobic.001G028900	0.0214796
Sobic.001G029100	0.015087
Sobic.001G029300	0.00179783
Sobic.001G029800	0.0224457
Sobic.001G029900	0.0239584
Sobic.001G030200	0.0163821
Sobic.001G031300	0.0200415
Sobic.001G031400	0.0329668
Sobic.001G031500	0.0358853
Sobic.001G033900	0.0482461
Sobic.001G034100	0.00902465
Sobic.001G037900	0.00926925
Sobic.001G038450	0.0120097
Sobic.001G038500	0.0168631
Sobic.001G040200	0.00750722
Sobic.001G041500	0.040206
Sobic.001G042700	0
Sobic.001G044800	0.00243411
Sobic.001G045000	0.0189254
Sobic.001G045600	0.0025416
Sobic.001G046100	0.0357001
Sobic.001G046700	0.0150364
Sobic.001G047700	0.0265948
Sobic.001G048000	0.00781872
Sobic.001G048400	0.00345929
Sobic.001G049200	0.0274356
Sobic.001G050800	0.0557034
Sobic.001G050900	0.043456
Sobic.001G051800	0.0480077
Sobic.001G052600	0.0489373
Sobic.001G053000	0.0167149
Sobic.001G053500	0.00667777
Sobic.001G055700	0
Sobic.001G056100	0.0220923
Sobic.001G056500	0
Sobic.001G058500	0.0320008
Sobic.001G061900	0.00405007
Sobic.001G062400	0.0208048
Sobic.001G065200	0.0391805
Sobic.001G065300	0.028236
