Gene	Col1
Sobic.001G001300	0
Sobic.001G002100	0.010266
Sobic.001G003200	0.0277842
Sobic.001G003900	0.018545
Sobic.001G005200	0.0313088
Sobic.001G005500	0.0433652
Sobic.001G005700	0.0192875
Sobic.001G006300	0
Sobic.001G006500	0.0759639
Sobic.001G006600	0.044656
Sobic.001G007700	0.0321332
Sobic.001G007800	0.0350093
Sobic.001G008400	0.04087
Sobic.001G008900	0.0496412
Sobic.001G009400	0
Sobic.001G009500	0.0490673
Sobic.001G010200	0.00664521
Sobic.001G011400	0
Sobic.001G011700	0.0246456
Sobic.001G013600	0.018545
Sobic.001G013800	0.0752885
Sobic.001G013900	0
Sobic.001G014000	0.0137171
Sobic.001G015100	0.0401078
Sobic.001G015200	0.019187
Sobic.001G016800	0.0267707
Sobic.001G018000	0.0383235
Sobic.001G021900	0.0386169
Sobic.001G025500	0
Sobic.001G026700	0
Sobic.001G027700	0.0706177
Sobic.001G028000	0.0332628
Sobic.001G028200	0.0100372
Sobic.001G028800	0.012658
Sobic.001G028900	0.010634
Sobic.001G029100	0.0601343
Sobic.001G029300	0
Sobic.001G029800	0.0528094
Sobic.001G029900	0.0111637
Sobic.001G030200	0.00842668
Sobic.001G031300	0
Sobic.001G031400	0.0804061
Sobic.001G031500	0.00769149
Sobic.001G033900	0
Sobic.001G034100	0.00978488
Sobic.001G037900	0.0347216
Sobic.001G040200	0.0124642
Sobic.001G042700	0.020351
Sobic.001G044800	0
Sobic.001G045000	0.0201497
Sobic.001G045600	0.00776562
Sobic.001G046100	0.0776606
Sobic.001G046700	0
Sobic.001G047700	0.066933
Sobic.001G048000	0.0325985
Sobic.001G048400	0.0129531
Sobic.001G049200	0.00867417
Sobic.001G050800	0.0319325
Sobic.001G050900	0.0862408
Sobic.001G051800	0.00776562
Sobic.001G052200	0.0512448
Sobic.001G053000	0.0156869
Sobic.001G053500	0.0296766
Sobic.001G055700	0
Sobic.001G056100	0.0155478
Sobic.001G056500	0.0285697
Sobic.001G057400	0.0108321
Sobic.001G058500	0.0116059
Sobic.001G061900	0.00978488
Sobic.001G062400	0
Sobic.001G062700	0.0253718
Sobic.001G065200	0.0281244
Sobic.001G065300	0.0403376
Sobic.001G065500	0.0180956
Sobic.001G065600	0.0290758
Sobic.001G066600	0
Sobic.001G067200	0.00746754
Sobic.001G067500	0.0137753
Sobic.001G067700	0.0119093
Sobic.001G067850	0
Sobic.001G068132	0.0555677
Sobic.001G070900	0.0337938
Sobic.001G071100	0.0204253
Sobic.001G071700	0.026698
Sobic.001G071900	0.019262
Sobic.001G072200	0.0340417
Sobic.001G072300	0.0359077
Sobic.001G073300	0.0441364
Sobic.001G074200	0.00739723
Sobic.001G075700	0.0529246
Sobic.001G076200	0.0220176
Sobic.001G076900	0.0287428
Sobic.001G077500	0.0382408
Sobic.001G077800	0.0141799
Sobic.001G078600	0.0207575
Sobic.001G080100	0.00848446
Sobic.001G081400	0.0499661
Sobic.001G082600	0
Sobic.001G082900	0.0294632
Sobic.001G084300	0.00979612
Sobic.001G086400	0.0102628
Sobic.001G087700	0.0222007
Sobic.001G088000	0
Sobic.001G090200	0.0124642
Sobic.001G090600	0
Sobic.001G091500	0.0632642
Sobic.001G092300	0.00769149
Sobic.001G092600	0.0278777
Sobic.001G093600	0.0186793
Sobic.001G094200	0.0328041
Sobic.001G094400	0.023849
Sobic.001G094900	0.0181349
Sobic.001G096200	0.0468658
Sobic.001G096866	0
Sobic.001G096900	0
Sobic.001G098000	0.0231492
Sobic.001G098301	0.00599579
Sobic.001G098800	0.0183229
Sobic.001G098900	0.0691695
Sobic.001G100000	0.044312
Sobic.001G101900	0.062217
Sobic.001G102400	0
Sobic.001G104100	0.0109599
Sobic.001G104900	0
Sobic.001G105800	0.0612716
Sobic.001G107550	0
Sobic.001G112500	0.0108992
Sobic.001G112800	0.0175726
Sobic.001G113900	0
Sobic.001G114650	0
Sobic.001G114700	0
Sobic.001G115800	0.0335416
Sobic.001G116400	0.0206414
Sobic.001G116900	0.0754656
Sobic.001G118100	0.0670062
Sobic.001G118400	0.0374898
Sobic.001G118700	0.0120025
Sobic.001G119000	0.0417064
Sobic.001G119100	0.0172295
Sobic.001G121700	0.0430083
Sobic.001G122100	0.0390547
Sobic.001G124500	0.0448117
Sobic.001G124600	0.0392062
Sobic.001G125100	0.0323492
Sobic.001G125300	0.0607658
Sobic.001G125400	0.00762053
Sobic.001G125600	0.0170427
Sobic.001G125800	0.0187768
Sobic.001G126500	0.0233274
Sobic.001G126800	0.00771293
Sobic.001G128600	0.0340096
Sobic.001G129300	0.0302362
Sobic.001G130700	0.0441935
Sobic.001G130900	0.0195248
Sobic.001G131300	0.0104356
Sobic.001G131500	0.0355841
Sobic.001G132800	0.00478769
Sobic.001G133900	0.0110919
Sobic.001G134600	0.0209107
Sobic.001G134700	0
Sobic.001G135600	0.0585966
Sobic.001G136850	0
Sobic.001G137600	0.007885
Sobic.001G137800	0.0209002
Sobic.001G138000	0.0194182
Sobic.001G138100	0.0398694
Sobic.001G138900	0.0554145
Sobic.001G139001	0.0471511
Sobic.001G139100	0.00498164
Sobic.001G140000	0
Sobic.001G140800	0.0423014
Sobic.001G143000	0.0199457
Sobic.001G143400	0.0237804
Sobic.001G145050	0.017291
Sobic.001G147000	0.0248378
Sobic.001G148200	0.0449233
Sobic.001G149901	0.0182178
Sobic.001G151000	0
Sobic.001G151200	0
Sobic.001G151500	0.0423298
Sobic.001G151700	0.0851365
Sobic.001G152360	0.0281352
Sobic.001G153500	0.0225673
Sobic.001G155200	0.0359606
Sobic.001G155500	0
Sobic.001G156500	0
Sobic.001G157500	0.0544037
Sobic.001G157800	0.0174568
